rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,which,response,response_type,environment
287962.1999999881,141,71,male,English,AmE,some college,""":""I thought what if the promotion also included a heavier workload. If it did would those promoted have time to bike as opposed to faster transportation. ""}",bike,nai,q-stop,stop,higher,SECOND,0.73,PRE,question
41225.100000000006,97,62,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,FIRST,0.78,PRE,question
41225.100000000006,97,62,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,SECOND,0.76,notPOST,question
77512.69999999925,154,49,male,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,FIRST,0,BEL,negation
77512.69999999925,154,49,male,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,SECOND,0.82,CC,negation
59148.09999996424,501,46,female,English,AmE,graduated college,""":""Nothing""}",petshelter,nai,q-know,know,lower,FIRST,0.82,BEL,question
59148.09999996424,501,46,female,English,AmE,graduated college,""":""Nothing""}",petshelter,nai,q-know,know,lower,SECOND,0.62,CC,question
30691.10000000149,330,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
30691.10000000149,330,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
82638,412,41,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,lower,FIRST,0,CC,negation
82638,412,41,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,lower,SECOND,0.78,BEL,negation
214183.19999999923,511,51,female,English,AmE,hold a higher degree,""":""No comment""}",subway,ai,neg-stop,stop,higher,FIRST,1,PRE,negation
214183.19999999923,511,51,female,English,AmE,hold a higher degree,""":""No comment""}",subway,ai,neg-stop,stop,higher,SECOND,1,notPOST,negation
49214.5,91,42,male,English,AmE,some college,""":""none""}",petshelter,ai,q-stop,stop,higher,FIRST,0.4,PRE,question
49214.5,91,42,male,English,AmE,some college,""":""none""}",petshelter,ai,q-stop,stop,higher,SECOND,0.38,notPOST,question
46033.90000000596,276,49,male,English,AmE,graduated high school,""":""""}",petshelter,nai,neg-know,know,higher,FIRST,0.51,BEL,negation
46033.90000000596,276,49,male,English,AmE,graduated high school,""":""""}",petshelter,nai,neg-know,know,higher,SECOND,0.58,CC,negation
40411.80000000005,8,29,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,lower,FIRST,0.13,CC,negation
40411.80000000005,8,29,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,lower,SECOND,0.3,BEL,negation
55167,471,51,female,English,AmE,graduated college,"""}",bike,ai,q-stop,stop,lower,FIRST,0.92,PRE,question
55167,471,51,female,English,AmE,graduated college,"""}",bike,ai,q-stop,stop,lower,SECOND,0.37,notPOST,question
189146.69999998808,171,41,female,English,AmE,hold a higher degree,""":""n/a""}",subway,nai,neg-stop,stop,lower,FIRST,0,notPOST,negation
189146.69999998808,171,41,female,English,AmE,hold a higher degree,""":""n/a""}",subway,nai,neg-stop,stop,lower,SECOND,1,PRE,negation
47246.90000000037,287,32,female,English,AmE,some college,""":""""}",bike,nai,q-stop,stop,higher,FIRST,0.51,notPOST,question
47246.90000000037,287,32,female,English,AmE,some college,""":""""}",bike,nai,q-stop,stop,higher,SECOND,0.46,PRE,question
63360.09999999963,139,42,male,English,AmE,hold a higher degree,""":""n/a""}",subway,ai,neg-know,know,higher,FIRST,0.9,CC,negation
63360.09999999963,139,42,male,English,AmE,hold a higher degree,""":""n/a""}",subway,ai,neg-know,know,higher,SECOND,0.25,BEL,negation
